TokenID,Species,Equipment,Realm,Curse,Name,Story,Rarity,Synergy,SpeciesID,ItemID,BackgroundID,EffectID,OriginalEffectID
61,Dragon,Shield,Bloodmoon,Mind Blast,"Crimson Scale Guardian #61","Under the crimson gaze, this terror hoards cursed treasures its screams shatter sanity.",Epic,"",4,2,0,1,1
62,Succubus,Shoulder,Void,Burning,"Void Soul Temptress #62","At existence's edge, the temptress ensnares souls while flames consume endlessly.",Common,"",8,8,5,8,8
63,Demon,Wine,Abyss,Poisoning,"Fiend Lord #63","From the endless void, the infernal lord reigns leaving toxic death behind.",Common,"",3,5,1,5,5
64,Mummy,Shield,Frost,Confusion,"Frozen Ancient Guard #64","In frozen wastes, this guardian endures eternally spreading fractured chaos.",Common,"",7,2,7,2,2
65,Frankenstein,Arm,Decay,Brain Wash,"The Collector","The shoulder armor is actually a collection of harvested arms, still twitching with unnatural life.",Rare,"The Collector",2,8,2,9,9
66,Vampire,Wine,Ragnarok,Lightning,"Blood Sommelier","A refined predator who has transcended mere survival. This vampire has cultivated an exquisite palate for the finest vintages.",Rare,"Blood Sommelier",6,5,8,6,6
67,Goblin,Shield,Venom,Meteor,"Tribal Guard #67","In toxic mists, the goblin plots mischief while heavens rain destruction.",Rare,"",1,2,4,3,3
68,Zombie,Amulet,Shadow,Seizure,"Cursed Corpse #68","In shadow's reach, the cursed corpse shambles onward causing reality to convulse.",Rare,"",5,9,9,0,0
69,Werewolf,Wine,Void,Blizzard,"Void Moon Stalker #69","At existence's edge, the beast stalks with primal fury as frozen winds tear reality.",Legendary,"",0,5,5,7,7
70,Zombie,Shield,Abyss,Bats,"Shambling Dead #70","From the endless void, this corpse shambles onward commanding nightborn servants.",Common,"",5,2,1,4,4
71,Skeleton,Amulet,Inferno,Mind Blast,"Infernal Hollow One #71","Within eternal flames, ancient bones clutch their relics its screams shatter sanity.",Common,"",9,9,6,1,1
72,Dragon,Wine,Decay,Burning,"Ancient Wyrm #72","In rotting wastelands, this terror hoards cursed treasures while flames consume endlessly.",Common,"",4,5,2,8,8
73,Succubus,Shield,Ragnarok,Poisoning,"Last Soul Temptress #73","As the world ends, the temptress ensnares souls leaving toxic death behind.",Uncommon,"",8,2,8,5,5
74,Demon,Amulet,Corruption,Confusion,"Corrupted Fiend Lord #74","Where reality breaks, the infernal lord reigns spreading fractured chaos.",Uncommon,"",3,9,3,2,2
75,Mummy,Wine,Shadow,Brain Wash,"Ancient Guard #75","In shadow's reach, this guardian endures eternally enslaving minds with madness.",Rare,"",7,5,9,9,9
76,Frankenstein,Shield,Void,Lightning,"Void Stitched Horror #76","At existence's edge, this creation defies nature beneath electric fury.",Epic,"",2,2,5,6,6
77,Mummy,Amulet,Bloodmoon,Meteor,"Crimson Ancient Guard #77","Under the crimson gaze, this guardian endures eternally while heavens rain destruction.",Common,"",7,9,0,3,3
78,Goblin,Scythe,Inferno,Seizure,"Infernal Shadow Gremlin #78","Within eternal flames, the goblin plots mischief causing reality to convulse.",Common,"",1,6,6,0,0
79,Vampire,Shield,Decay,Blizzard,"Eternal Hunter #79","In rotting wastelands, this nightwalker hunts eternally as frozen winds tear reality.",Common,"",6,2,2,7,7
80,Werewolf,Head,Frost,Bats,"The Alpha's Trophy","What appears to be a simple crown is revealed as the severed head of the previous pack leader.",Rare,"The Alpha's Trophy",0,9,7,4,4
81,Zombie,Scythe,Corruption,Mind Blast,"Corrupted Shambling Dead #81","Where reality breaks, this corpse shambles onward its screams shatter sanity.",Uncommon,"",5,6,3,1,1
82,Skeleton,Shield,Shadow,Burning,"Undead Sentinel #82","In shadow's reach, the undead sentinel stands watch while flames consume endlessly.",Uncommon,"",9,2,9,8,8
83,Dragon,Head,Venom,Poisoning,"Toxic Miasma","A poisonous fog that corrupts all it touches.",Epic,"Toxic Miasma",4,9,4,5,5
84,Skeleton,Scythe,Bloodmoon,Confusion,"Death's Herald","The original harbinger of doom. This skeletal reaper has collected souls since the dawn of mortality itself.",Legendary,"Death's Herald",9,6,0,2,2
85,Demon,Shield,Inferno,Brain Wash,"Infernal Fiend Lord #85","Within eternal flames, the infernal lord reigns enslaving minds with madness.",Common,"",3,2,6,9,9
86,Succubus,Amulet,Abyss,Lightning,"Soul Temptress #86","From the endless void, the temptress ensnares souls beneath electric fury.",Legendary,"",8,9,1,6,6
87,Frankenstein,Scythe,Frost,Meteor,"Frozen Stitched Horror #87","In frozen wastes, this creation defies nature while heavens rain destruction.",Common,"",2,6,7,3,3
88,Mummy,Poison,Corruption,Seizure,"Corrupted Ancient Guard #88","Where reality breaks, this guardian endures eternally causing reality to convulse.",Uncommon,"",7,3,3,0,0
89,Goblin,Amulet,Ragnarok,Blizzard,"Last Shadow Gremlin #89","As the world ends, the goblin plots mischief as frozen winds tear reality.",Uncommon,"",1,9,8,7,7
90,Vampire,Scythe,Venom,Bats,"Eternal Hunter #90","In toxic mists, this nightwalker hunts eternally commanding nightborn servants.",Rare,"",6,6,4,4,4
91,Goblin,Poison,Bloodmoon,Mind Blast,"Crimson Shadow Gremlin #91","Under the crimson gaze, the goblin plots mischief its screams shatter sanity.",Rare,"",1,3,0,1,1
92,Zombie,Amulet,Void,Burning,"Void Cursed Corpse #92","At existence's edge, the cursed corpse shambles onward while flames consume endlessly.",Legendary,"",5,9,5,8,8
93,Werewolf,Scythe,Abyss,Poisoning,"Moon Stalker #93","From the endless void, the beast stalks with primal fury leaving toxic death behind.",Common,"",0,6,1,5,5
94,Dragon,Poison,Frost,Confusion,"Frozen Ancient Wyrm #94","In frozen wastes, this terror hoards cursed treasures spreading fractured chaos.",Common,"",4,3,7,2,2
95,Skeleton,Amulet,Decay,Brain Wash,"Hollow One #95","In rotting wastelands, ancient bones clutch their relics enslaving minds with madness.",Common,"",9,9,2,9,9
96,Demon,Scythe,Ragnarok,Lightning,"Last Fiend Lord #96","As the world ends, the infernal lord reigns beneath electric fury.",Uncommon,"",3,6,8,6,6
97,Succubus,Poison,Venom,Meteor,"Soul Temptress #97","In toxic mists, the temptress ensnares souls while heavens rain destruction.",Uncommon,"",8,3,4,3,3
98,Demon,Crown,Bloodmoon,Seizure,"Crimson Fiend Lord #98","Under the crimson gaze, the infernal lord reigns causing reality to convulse.",Rare,"",3,0,0,0,0
99,Mummy,Scythe,Void,Blizzard,"Void Ancient Guard #99","At existence's edge, this guardian endures eternally as frozen winds tear reality.",Epic,"",7,6,5,7,7
100,Frankenstein,Poison,Abyss,Bats,"Toxic Creation #100","From the endless void, this creation defies nature commanding nightborn servants.",Legendary,"",2,3,1,4,4
101,Vampire,Crown,Frost,Mind Blast,"Frozen Night King #101","In frozen wastes, the night king commands darkness its screams shatter sanity.",Common,"",6,0,7,1,1
102,Goblin,Scythe,Decay,Burning,"Shadow Gremlin #102","In rotting wastelands, the goblin plots mischief while flames consume endlessly.",Common,"",1,6,2,8,8
103,Zombie,Poison,Ragnarok,Poisoning,"Last Plague Walker #103","As the world ends, the plague walker spreads infection leaving toxic death behind.",Common,"",5,3,8,5,5
104,Werewolf,Crown,Venom,Confusion,"Moon Stalker #104","In toxic mists, the beast stalks with primal fury spreading fractured chaos.",Uncommon,"",0,0,4,2,2
105,Dragon,Scythe,Shadow,Brain Wash,"Ancient Wyrm #105","In shadow's reach, this terror hoards cursed treasures enslaving minds with madness.",Uncommon,"",4,6,9,9,9
106,Skeleton,Poison,Void,Lightning,"Void Hollow One #106","At existence's edge, ancient bones clutch their relics beneath electric fury.",Rare,"",9,3,5,6,6
107,Dragon,Crown,Abyss,Meteor,"Drake Lord #107","From the endless void, the wyrm reclaims dominion while heavens rain destruction.",Epic,"",4,0,1,3,3
108,Succubus,Staff,Inferno,Seizure,"Infernal Dream Weaver #108","Within eternal flames, the temptress ensnares souls causing reality to convulse.",Common,"",8,7,6,0,0
109,Demon,Poison,Decay,Blizzard,"Fiend Lord #109","In rotting wastelands, the infernal lord reigns as frozen winds tear reality.",Common,"",3,3,2,7,7
110,Mummy,Crown,Ragnarok,Bats,"Last Ancient Guard #110","As the world ends, this guardian endures eternally commanding nightborn servants.",Common,"",7,0,8,4,4
111,Frankenstein,Staff,Corruption,Mind Blast,"Corrupted Stitched Horror #111","Where reality breaks, this creation defies nature its screams shatter sanity.",Legendary,"",2,7,3,1,1
112,Vampire,Poison,Shadow,Burning,"Eternal Hunter #112","In shadow's reach, this nightwalker hunts eternally while flames consume endlessly.",Uncommon,"",6,3,9,8,8
113,Goblin,Crown,Void,Poisoning,"Void Shadow Gremlin #113","At existence's edge, the goblin plots mischief leaving toxic death behind.",Uncommon,"",1,0,5,5,5
114,Vampire,Staff,Bloodmoon,Confusion,"Crimson Eternal Hunter #114","Under the crimson gaze, this nightwalker hunts eternally spreading fractured chaos.",Rare,"",6,7,0,2,2
115,Werewolf,Poison,Inferno,Brain Wash,"Infernal Moon Stalker #115","Within eternal flames, the beast stalks with primal fury enslaving minds with madness.",Legendary,"",0,3,6,9,9
116,Zombie,Crown,Decay,Lightning,"Shambling Dead #116","In rotting wastelands, this corpse shambles onward beneath electric fury.",Common,"",5,0,2,6,6
117,Skeleton,Staff,Frost,Meteor,"Frozen Hollow One #117","In frozen wastes, ancient bones clutch their relics while heavens rain destruction.",Common,"",9,7,7,3,3
118,Dragon,Torch,Corruption,Seizure,"Corrupted Ancient Wyrm #118","Where reality breaks, this terror hoards cursed treasures causing reality to convulse.",Common,"",4,4,3,0,0
119,Succubus,Crown,Shadow,Blizzard,"Soul Temptress #119","In shadow's reach, the temptress ensnares souls as frozen winds tear reality.",Uncommon,"",8,0,9,7,7
120,Demon,Staff,Venom,Bats,"Fiend Lord #120","In toxic mists, the infernal lord reigns commanding nightborn servants.",Uncommon,"",3,7,4,4,4
121,Succubus,Torch,Bloodmoon,Mind Blast,"Crimson Soul Temptress #121","Under the crimson gaze, the temptress ensnares souls its screams shatter sanity.",Rare,"",8,4,0,1,1
122,Frankenstein,Crown,Inferno,Burning,"Eternal Flame","Fire that burns without fuel, consuming reality itself.",Legendary,"Eternal Flame",2,0,6,8,8
123,Mummy,Staff,Abyss,Poisoning,"Tomb Priest #123","From the endless void, the pharaoh commands divinely leaving toxic death behind.",Legendary,"",7,7,1,5,5
124,Goblin,Torch,Frost,Confusion,"Frozen Shadow Gremlin #124","In frozen wastes, the goblin plots mischief spreading fractured chaos.",Common,"",1,4,7,2,2
125,Vampire,Crown,Corruption,Brain Wash,"Corrupted Night King #125","Where reality breaks, the night king commands darkness enslaving minds with madness.",Common,"",6,0,3,9,9
126,Werewolf,Staff,Ragnarok,Lightning,"Last Moon Stalker #126","As the world ends, the beast stalks with primal fury beneath electric fury.",Common,"",0,7,8,6,6
127,Zombie,Torch,Venom,Meteor,"Shambling Dead #127","In toxic mists, this corpse shambles onward while heavens rain destruction.",Uncommon,"",5,4,4,3,3
128,Werewolf,Sword,Bloodmoon,Seizure,"Crimson Moon Stalker #128","Under the crimson gaze, the beast stalks with primal fury causing reality to convulse.",Uncommon,"",0,1,0,0,0
129,Dragon,Staff,Void,Blizzard,"Void Ancient Wyrm #129","At existence's edge, this terror hoards cursed treasures as frozen winds tear reality.",Rare,"",4,7,5,7,7
130,Skeleton,Torch,Abyss,Bats,"Hollow One #130","From the endless void, ancient bones clutch their relics commanding nightborn servants.",Epic,"",9,4,1,4,4
131,Demon,Sword,Frost,Mind Blast,"Frozen Hell Blade #131","In frozen wastes, this fiend wields torment its screams shatter sanity.",Common,"",3,1,7,1,1
132,Succubus,Staff,Decay,Burning,"Dream Weaver #132","In rotting wastelands, the temptress ensnares souls while flames consume endlessly.",Common,"",8,7,2,8,8
133,Frankenstein,Torch,Ragnarok,Poisoning,"Last Stitched Horror #133","As the world ends, this creation defies nature leaving toxic death behind.",Common,"",2,4,8,5,5
134,Mummy,Sword,Venom,Confusion,"Desert Warrior #134","In toxic mists, the desert warrior stands eternal spreading fractured chaos.",Uncommon,"",7,1,4,2,2
135,Goblin,Staff,Shadow,Brain Wash,"Shadow Gremlin #135","In shadow's reach, the goblin plots mischief enslaving minds with madness.",Uncommon,"",1,7,9,9,9
136,Vampire,Torch,Void,Lightning,"Void Eternal Hunter #136","At existence's edge, this nightwalker hunts eternally beneath electric fury.",Uncommon,"",6,4,5,6,6
137,Goblin,Sword,Abyss,Meteor,"Cave Raider #137","From the endless void, the goblin plots mischief while heavens rain destruction.",Rare,"",1,1,1,3,3
138,Zombie,Shoulder,Inferno,Seizure,"Infernal Shambling Dead #138","Within eternal flames, this corpse shambles onward causing reality to convulse.",Epic,"",5,8,6,0,0
139,Werewolf,Torch,Decay,Blizzard,"Moon Stalker #139","In rotting wastelands, the beast stalks with primal fury as frozen winds tear reality.",Common,"",0,4,2,7,7
140,Dragon,Sword,Ragnarok,Bats,"Last Wyrm Knight #140","As the world ends, the drake wields dragonfire steel commanding nightborn servants.",Common,"",4,1,8,4,4
141,Skeleton,Shoulder,Corruption,Mind Blast,"Corrupted Hollow One #141","Where reality breaks, ancient bones clutch their relics its screams shatter sanity.",Common,"",9,8,3,1,1
142,Demon,Torch,Shadow,Burning,"Flame Bearer #142","In shadow's reach, the hellspawn lights perdition's path while flames consume endlessly.",Uncommon,"",3,4,9,8,8
143,Succubus,Sword,Void,Poisoning,"Void Soul Temptress #143","At existence's edge, the temptress ensnares souls leaving toxic death behind.",Uncommon,"",8,1,5,5,5
144,Demon,Shoulder,Bloodmoon,Confusion,"Crimson Fiend Lord #144","Under the crimson gaze, the infernal lord reigns spreading fractured chaos.",Rare,"",3,8,0,2,2
145,Mummy,Torch,Inferno,Brain Wash,"Infernal Ancient Guard #145","Within eternal flames, this guardian endures eternally enslaving minds with madness.",Epic,"",7,4,6,9,9
146,Frankenstein,Sword,Decay,Lightning,"Stitched Horror #146","In rotting wastelands, this creation defies nature beneath electric fury.",Legendary,"",2,1,2,6,6
147,Vampire,Shoulder,Frost,Meteor,"Frozen Eternal Hunter #147","In frozen wastes, this nightwalker hunts eternally while heavens rain destruction.",Common,"",6,8,7,3,3
148,Goblin,Wine,Corruption,Seizure,"Corrupted Shadow Gremlin #148","Where reality breaks, the goblin plots mischief causing reality to convulse.",Common,"",1,5,3,0,0
149,Zombie,Sword,Shadow,Blizzard,"Shambling Dead #149","In shadow's reach, this corpse shambles onward as frozen winds tear reality.",Common,"",5,1,9,7,7
150,Werewolf,Shoulder,Venom,Bats,"Beast Warrior #150","In toxic mists, the beast stalks with primal fury commanding nightborn servants.",Uncommon,"",0,8,4,4,4
151,Zombie,Wine,Bloodmoon,Mind Blast,"Crimson Shambling Dead #151","Under the crimson gaze, this corpse shambles onward its screams shatter sanity.",Uncommon,"",5,5,0,1,1
152,Skeleton,Sword,Inferno,Burning,"Eternal Flame","Fire that burns without fuel, consuming reality itself.",Epic,"Eternal Flame",9,1,6,8,8
153,Dragon,Shoulder,Abyss,Poisoning,"Ancient Wyrm #153","From the endless void, this terror hoards cursed treasures leaving toxic death behind.",Epic,"",4,8,1,5,5
154,Succubus,Wine,Frost,Confusion,"Frozen Desire Maiden #154","In frozen wastes, the temptress ensnares souls spreading fractured chaos.",Common,"",8,5,7,2,2
155,Demon,Sword,Corruption,Brain Wash,"Corrupted Hell Blade #155","Where reality breaks, this fiend wields torment enslaving minds with madness.",Common,"",3,1,3,9,9
156,Mummy,Shoulder,Ragnarok,Lightning,"Last Ancient Guard #156","As the world ends, this guardian endures eternally beneath electric fury.",Common,"",7,8,8,6,6
157,Frankenstein,Wine,Venom,Meteor,"Stitched Horror #157","In toxic mists, this creation defies nature while heavens rain destruction.",Uncommon,"",2,5,4,3,3
158,Mummy,Shield,Bloodmoon,Seizure,"Crimson Ancient Guard #158","Under the crimson gaze, this guardian endures eternally causing reality to convulse.",Uncommon,"",7,2,0,0,0
159,Goblin,Shoulder,Void,Blizzard,"Void Shadow Gremlin #159","At existence's edge, the goblin plots mischief as frozen winds tear reality.",Uncommon,"",1,8,5,7,7
160,Vampire,Wine,Abyss,Bats,"Blood Sommelier","A refined predator who has transcended mere survival. This vampire has cultivated an exquisite palate for the finest vintages.",Epic,"Blood Sommelier",6,5,1,4,4
161,Werewolf,Shield,Frost,Mind Blast,"Frozen Moon Stalker #161","In frozen wastes, the beast stalks with primal fury its screams shatter sanity.",Epic,"",0,2,7,1,1
162,Zombie,Shoulder,Decay,Burning,"Shambling Dead #162","In rotting wastelands, this corpse shambles onward while flames consume endlessly.",Common,"",5,8,2,8,8
163,Skeleton,Wine,Ragnarok,Poisoning,"Last Hollow One #163","As the world ends, ancient bones clutch their relics leaving toxic death behind.",Common,"",9,5,8,5,5
164,Dragon,Shield,Venom,Confusion,"Scale Guardian #164","In toxic mists, this terror hoards cursed treasures spreading fractured chaos.",Common,"",4,2,4,2,2
165,Succubus,Shoulder,Shadow,Brain Wash,"Soul Temptress #165","In shadow's reach, the temptress ensnares souls enslaving minds with madness.",Uncommon,"",8,8,9,9,9
166,Demon,Wine,Void,Lightning,"Void Fiend Lord #166","At existence's edge, the infernal lord reigns beneath electric fury.",Uncommon,"",3,5,5,6,6
167,Succubus,Shield,Abyss,Meteor,"Soul Temptress #167","From the endless void, the temptress ensnares souls while heavens rain destruction.",Rare,"",8,2,1,3,3
168,Frankenstein,Amulet,Inferno,Seizure,"Infernal Stitched Horror #168","Within eternal flames, this creation defies nature causing reality to convulse.",Rare,"",2,9,6,0,0
169,Mummy,Wine,Decay,Blizzard,"Ancient Guard #169","In rotting wastelands, this guardian endures eternally as frozen winds tear reality.",Legendary,"",7,5,2,7,7
170,Goblin,Shield,Ragnarok,Bats,"Last Tribal Guard #170","As the world ends, the goblin plots mischief commanding nightborn servants.",Common,"",1,2,8,4,4
171,Vampire,Amulet,Corruption,Mind Blast,"Corrupted Eternal Hunter #171","Where reality breaks, this nightwalker hunts eternally its screams shatter sanity.",Common,"",6,9,3,1,1
172,Werewolf,Wine,Shadow,Burning,"Moon Stalker #172","In shadow's reach, the beast stalks with primal fury while flames consume endlessly.",Common,"",0,5,9,8,8
173,Zombie,Shield,Void,Poisoning,"Void Shambling Dead #173","At existence's edge, this corpse shambles onward leaving toxic death behind.",Uncommon,"",5,2,5,5,5
